Latitude,Longitude,Demand_Forecast,Traffic_Status,Waiting_Time,Traffic_Encoded,Cluster_ID
-65.7383,11.2497,285,Detour,38,2,5
22.2748,-131.7086,174,Heavy,16,3,7
54.9232,79.5455,260,Detour,34,2,8
42.39,-1.4788,160,Heavy,37,3,12
-65.8477,47.9468,270,Clear,56,1,16
73.3312,46.5831,189,Clear,56,1,4
27.9307,147.5317,198,Clear,32,1,9
46.5643,-126.5348,253,Detour,30,2,15
-83.6737,-31.7125,206,Clear,14,1,2
54.1683,-135.2676,224,Clear,52,1,4
82.9633,-154.5274,171,Clear,28,1,1
-25.2768,156.1262,238,Detour,13,2,8
-65.526,-3.0202,114,Detour,38,2,6
-26.1836,-30.3641,115,Detour,30,2,6
2.6709,-80.8879,231,Heavy,54,3,0
-22.4793,-54.5143,256,Clear,45,1,16
-34.5353,-40.8617,170,Clear,58,1,3
-8.7105,-17.8347,106,Detour,23,2,6
14.6629,116.0696,204,Detour,29,2,9
75.7743,108.9425,248,Clear,21,1,15
50.3419,108.5647,195,Detour,31,2,9
-6.6729,132.6727,235,Heavy,20,3,10
-74.1751,-102.7331,135,Detour,57,2,14
-33.2264,169.6187,282,Clear,35,1,17
-34.4469,93.1585,238,Detour,41,2,8
-13.511,141.8454,262,Detour,22,2,8
-22.427,108.2306,101,Heavy,22,3,7
43.3353,-12.0683,248,Heavy,14,3,13
-66.7517,161.45,155,Heavy,26,3,10
-65.7349,-173.3011,252,Heavy,17,3,13
-55.4768,18.2551,240,Clear,41,1,16
5.9179,74.8254,242,Heavy,39,3,0
49.3929,-47.5805,220,Detour,48,2,4
80.3158,70.765,205,Heavy,45,3,0
-19.8847,42.5062,134,Detour,28,2,6
5.4555,-147.5455,222,Detour,54,2,5
-19.2577,66.744,266,Heavy,50,3,0
-79.0792,-16.3423,261,Heavy,14,3,13
-1.6787,3.2441,255,Detour,19,2,8
-8.2431,-12.4959,196,Clear,45,1,16
-30.0701,135.6396,129,Clear,12,1,11
61.8444,107.4835,183,Detour,39,2,4
40.784,77.2346,170,Clear,40,1,3
-68.3515,158.251,209,Clear,15,1,9
-33.8378,73.3221,113,Clear,52,1,3
69.6609,38.4464,265,Heavy,17,3,13
20.8843,1.3947,123,Clear,47,1,3
-14.8081,-177.3003,189,Heavy,35,3,14
0.0414,-130.6505,154,Clear,46,1,3
-79.9146,-3.8554,175,Heavy,47,3,14
76.4465,173.1493,289,Heavy,14,3,13
-15.6005,-92.1974,143,Heavy,39,3,14
67.396,170.1537,128,Clear,55,1,3
33.6179,-67.2758,137,Heavy,16,3,7
-50.8174,-40.3409,140,Clear,12,1,11
50.2709,125.6915,127,Detour,52,2,12
-73.8211,3.187,290,Detour,19,2,2
79.1172,178.4934,242,Heavy,40,3,0
27.4253,90.1386,143,Clear,37,1,3
67.9086,-140.0283,250,Clear,19,1,15
-72.8958,129.8921,169,Heavy,37,3,10
-58.6802,-62.7474,241,Heavy,23,3,13
64.0395,-151.7045,236,Detour,49,2,4
-24.1402,-168.6013,197,Heavy,39,3,14
72.8574,179.01,267,Detour,12,2,8
7.3575,86.6442,260,Detour,32,2,8
68.9594,-123.5048,182,Clear,50,1,3
14.9079,50.1606,256,Heavy,34,3,0
66.2353,10.8345,212,Detour,24,2,9
70.1899,-65.6792,254,Heavy,19,3,13
51.4539,-20.8253,122,Clear,49,1,3
-39.88,55.1792,264,Detour,35,2,8
-17.2355,-130.6915,225,Detour,12,2,2
-44.2576,-86.5073,192,Clear,56,1,16
19.9257,116.0526,288,Heavy,14,3,13
-47.2094,15.6324,204,Clear,22,1,9
-58.4249,-57.6609,172,Clear,51,1,3
-20.0696,-73.2689,243,Clear,21,1,2
-36.8549,164.7618,245,Heavy,57,3,0
-86.6609,-128.0354,248,Clear,59,1,16
-53.3732,-99.637,252,Clear,38,1,16
-58.7963,-150.4122,211,Clear,39,1,16
